Date,Total Sleep Hours,First Sleep Start,Last Sleep End,Number of Sessions,Year,Month,Month Name,Day of Week,Day of Month,Week of Year,Bedtime,Wake Time,Sleep Duration (minutes)
2022-04-27,6.105555555555555,2022-04-27 00:55:00+03:00,2022-04-27 00:55:00+03:00,1,2022,4,April,Wednesday,27,17,00:55,00:55,366.3333333333333
2022-04-28,3.776666666666667,2022-04-28 04:13:27+03:00,2022-04-28 04:13:27+03:00,1,2022,4,April,Thursday,28,17,04:13,04:13,226.60000000000002
2022-04-29,3.0555555555555554,2022-04-29 04:16:51+03:00,2022-04-29 04:16:51+03:00,1,2022,4,April,Friday,29,17,04:16,04:16,183.33333333333331
2022-05-02,6.164166666666667,2022-05-02 01:46:19+03:00,2022-05-02 05:10:11+03:00,2,2022,5,May,Monday,2,18,01:46,05:10,369.85
2022-05-03,7.083888888888889,2022-05-03 00:55:00+03:00,2022-05-03 00:55:00+03:00,1,2022,5,May,Tuesday,3,18,00:55,00:55,425.0333333333333
2022-05-04,7.083888888888889,2022-05-04 00:55:00+03:00,2022-05-04 00:55:00+03:00,1,2022,5,May,Wednesday,4,18,00:55,00:55,425.0333333333333
2022-05-05,3.4786111111111113,2022-05-05 02:08:00+03:00,2022-05-05 05:58:09+03:00,3,2022,5,May,Thursday,5,18,02:08,05:58,208.71666666666667
2022-05-06,7.075277777777778,2022-05-06 00:55:00+03:00,2022-05-06 07:00:56+03:00,2,2022,5,May,Friday,6,18,00:55,07:00,424.51666666666665
2022-05-09,3.7691666666666666,2022-05-09 02:54:41+03:00,2022-05-09 02:54:41+03:00,1,2022,5,May,Monday,9,19,02:54,02:54,226.15
2022-05-10,7.082777777777777,2022-05-10 00:55:00+03:00,2022-05-10 07:18:47+03:00,2,2022,5,May,Tuesday,10,19,00:55,07:18,424.96666666666664
2022-05-11,3.519722222222222,2022-05-11 03:29:22+03:00,2022-05-11 03:29:22+03:00,1,2022,5,May,Wednesday,11,19,03:29,03:29,211.18333333333334
2022-05-12,4.62,2022-05-12 02:23:04+03:00,2022-05-12 02:23:04+03:00,1,2022,5,May,Thursday,12,19,02:23,02:23,277.2
2022-05-13,2.707777777777778,2022-05-13 04:46:44+03:00,2022-05-13 07:10:02+03:00,4,2022,5,May,Friday,13,19,04:46,07:10,162.46666666666667
2022-05-16,5.777222222222222,2022-05-16 01:11:00+03:00,2022-05-16 05:05:45+03:00,2,2022,5,May,Monday,16,20,01:11,05:05,346.6333333333333
2022-05-17,4.942777777777778,2022-05-17 02:03:43+03:00,2022-05-17 02:03:43+03:00,1,2022,5,May,Tuesday,17,20,02:03,02:03,296.56666666666666
2022-05-18,4.294444444444444,2022-05-18 03:42:20+03:00,2022-05-18 03:42:20+03:00,1,2022,5,May,Wednesday,18,20,03:42,03:42,257.66666666666663
2022-05-19,4.361944444444444,2022-05-19 03:15:31+03:00,2022-05-19 05:27:52+03:00,2,2022,5,May,Thursday,19,20,03:15,05:27,261.71666666666664
2022-05-20,1.5077777777777779,2022-05-20 06:18:53+03:00,2022-05-20 06:18:53+03:00,1,2022,5,May,Friday,20,20,06:18,06:18,90.46666666666667
2022-05-23,6.643888888888889,2022-05-23 01:21:22+03:00,2022-05-23 01:21:22+03:00,1,2022,5,May,Monday,23,21,01:21,01:21,398.6333333333333
2022-05-24,5.573333333333333,2022-05-24 00:55:00+03:00,2022-05-24 00:55:00+03:00,1,2022,5,May,Tuesday,24,21,00:55,00:55,334.4
2022-05-25,5.5247222222222225,2022-05-25 00:55:00+03:00,2022-05-25 06:36:16+03:00,2,2022,5,May,Wednesday,25,21,00:55,06:36,331.48333333333335
2022-05-26,5.983888888888889,2022-05-26 02:00:59+03:00,2022-05-26 02:00:59+03:00,1,2022,5,May,Thursday,26,21,02:00,02:00,359.03333333333336
2022-05-27,4.726111111111111,2022-05-27 03:16:26+03:00,2022-05-27 03:16:26+03:00,1,2022,5,May,Friday,27,21,03:16,03:16,283.56666666666666
2022-05-30,6.2908333333333335,2022-05-30 01:42:33+03:00,2022-05-30 01:42:33+03:00,1,2022,5,May,Monday,30,22,01:42,01:42,377.45
2022-05-31,5.094722222222222,2022-05-31 01:56:53+03:00,2022-05-31 03:35:02+03:00,2,2022,5,May,Tuesday,31,22,01:56,03:35,305.68333333333334
2022-06-01,7.001666666666667,2022-06-01 00:57:46+03:00,2022-06-01 06:18:42+03:00,2,2022,6,June,Wednesday,1,22,00:57,06:18,420.1
2022-06-02,6.509722222222222,2022-06-02 01:27:16+03:00,2022-06-02 02:51:10+03:00,2,2022,6,June,Thursday,2,22,01:27,02:51,390.5833333333333
2022-06-03,6.586111111111111,2022-06-03 01:24:50+03:00,2022-06-03 01:24:50+03:00,1,2022,6,June,Friday,3,22,01:24,01:24,395.1666666666667
2022-06-06,5.746111111111111,2022-06-06 00:55:00+03:00,2022-06-06 06:17:59+03:00,3,2022,6,June,Monday,6,23,00:55,06:17,344.7666666666667
2022-06-07,7.083333333333333,2022-06-07 00:55:00+03:00,2022-06-07 00:55:00+03:00,1,2022,6,June,Tuesday,7,23,00:55,00:55,425.0
2022-06-08,3.2402777777777776,2022-06-08 04:35:50+03:00,2022-06-08 04:35:50+03:00,1,2022,6,June,Wednesday,8,23,04:35,04:35,194.41666666666666
2022-06-09,3.3108333333333335,2022-06-09 04:41:21+03:00,2022-06-09 04:41:21+03:00,1,2022,6,June,Thursday,9,23,04:41,04:41,198.65
2022-06-10,7.083333333333333,2022-06-10 00:55:00+03:00,2022-06-10 00:55:00+03:00,1,2022,6,June,Friday,10,23,00:55,00:55,425.0
2022-06-13,6.5313888888888885,2022-06-13 01:00:13+03:00,2022-06-13 01:00:13+03:00,1,2022,6,June,Monday,13,24,01:00,01:00,391.8833333333333
